"ID de la réponse","Date de soumission","Dernière page","Langue de départ","Quel est votre statut?   ","Sexe?","Avez vous déjà étudié/enseigné dans une salle équipée de capteurs ?","Etes vous favorable à l’usage des IoT sur le campus et la vie quotienne en général?","Globalement, quelles émotions les technologies IoT (villes intelligentes, bâtiments intelligents, objets connectés, etc.) vous évoquent-elles  ?","Justifier votre réponse aux questions précédentes  par un texte de maximum 280 caractères qui met en avant vos sentiments/émotions sur l'usage des dispositifs IoT dans la vie quotidienne."
"196","","1","fr","Autre","N/A","N/A","N/A","",""
"197","","1","fr","Autre","N/A","N/A","N/A","",""
"198","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Oui","Oui","Aucune","ça suscite pas d'émotion"
"199","","1","fr","Autre","N/A","N/A","N/A","",""
"200","","1","fr","Autre","N/A","N/A","N/A","",""
"201","","1","fr","Autre","N/A","N/A","N/A","",""
"202","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Oui","Oui","Peur (Peur / terreur / inquiétude / anxiété)","J'ai peur de l'usage que feront les autres mais pas de mon usage personnel de ces objets."
"203","","1","fr","Autre","N/A","N/A","N/A","",""
"204","","1","fr","Autre","N/A","N/A","N/A","",""
"205","","1","fr","Autre","N/A","N/A","N/A","",""
"206","","1","fr","Autre","N/A","N/A","N/A","",""
"207","1980-01-01 00:00:00","1","fr","Autre","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Possibilité de rendre son environnement plus ergonomique, plus adaptable aux envies/personnes, et divertissant"
"208","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Non","Mépris (Mépris / dédain / dégoût / haine/déplaisir/ déception/pessimisme)","je suis ingénieur cyberdéfense et l'IoT est juste un vecteur massif de malware"
"209","","1","fr","Autre","N/A","N/A","N/A","",""
"210","","1","fr","Autre","N/A","N/A","N/A","",""
"211","","1","fr","Autre","N/A","N/A","N/A","",""
"212","","1","fr","Autre","N/A","N/A","N/A","",""
"213","","1","fr","Autre","N/A","N/A","N/A","",""
"214","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Aide, confort, économies et interaction "
"215","","1","fr","Autre","N/A","N/A","N/A","",""
"216","","1","fr","Autre","N/A","N/A","N/A","",""
"217","","1","fr","Autre","N/A","N/A","N/A","",""
"218","","1","fr","Autre","N/A","N/A","N/A","",""
"219","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Vive le progrès "
"220","","1","fr","Autre","N/A","N/A","N/A","",""
"221","","1","fr","Autre","N/A","N/A","N/A","",""
"222","","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"223","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Oui","Oui","Peur (Peur / terreur / inquiétude / anxiété)","Je suis réticente a l'idée de mettre tous nos données sur le cloud, pour moi la sécurité passe avant le développement technologique."
"224","","1","fr","Autre","N/A","N/A","N/A","",""
"225","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","J'ai toujour voulu acheter google home pour ma maison ou bien keyless pour permettre au invités de rentrer à ma maison quand je ne suis pas là et de changer le mot de passe après leurs depart. Je veux aussi lancer ma machine à laver  même si je suis en dehors de lq maison. Je veux eteindre la lumière la nuit sans sortir de mon lit. IoT me permet de faire tous cela et ça me donne de lq joie"
"226","","1","fr","Autre","N/A","N/A","N/A","",""
"227","1980-01-01 00:00:00","1","fr","Personnel","Féminin","Non","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)","j'ai besoin de quelqu'un dans la vie qui me permettra de me sentir confiante"
"228","","1","fr","Autre","N/A","N/A","N/A","",""
"229","","1","fr","Autre","N/A","N/A","N/A","",""
"230","1980-01-01 00:00:00","1","fr","Autre","Masculin","Oui","Oui","Peur (Peur / terreur / inquiétude / anxiété)","Ras"
"231","","1","fr","Autre","N/A","N/A","N/A","",""
"232","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","it gives the idea that life would be easier "
"233","","1","fr","Autre","N/A","N/A","N/A","",""
"234","","1","fr","Autre","N/A","N/A","N/A","",""
"235","","1","fr","Autre","N/A","N/A","N/A","",""
"236","","1","fr","Autre","N/A","N/A","N/A","",""
"237","","1","fr","Autre","N/A","N/A","N/A","",""
"238","","1","fr","Autre","N/A","N/A","N/A","",""
"239","","1","fr","Autre","N/A","N/A","N/A","",""
"240","","1","fr","Autre","N/A","N/A","N/A","",""
"241","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Aucune","none "
"242","","1","fr","Autre","N/A","N/A","N/A","",""
"243","1980-01-01 00:00:00","1","fr","Autre","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","c'est trés bénéfique"
"244","","1","fr","Autre","N/A","N/A","N/A","",""
"245","","1","fr","Autre","N/A","N/A","N/A","",""
"246","","1","fr","Etudiant","Féminin","Non","Non","Peur (Peur / terreur / inquiétude / anxiété)",""
"247","","1","fr","Autre","N/A","N/A","N/A","",""
"248","","1","fr","Autre","N/A","N/A","N/A","",""
"249","","1","fr","Autre","N/A","N/A","N/A","",""
"250","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","tous ce que améliorer l’expérience de vie et faciliter le quotidien est le bienvenu du moment que ça ne nuit pas à la vie personnelle des gens "
"251","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","ca simplifie la vie ! elle aide les etudiants dans leur travail  ,elle diminue la charge et meme met un espace agreable  , c'est lere de la technologie et c le temps pour l'utiliser dans tous les domaines de notre vie , je suis totalement d'accord avec lusage des dispositive iot "
"252","","1","fr","Autre","N/A","N/A","N/A","",""
"253","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Surprise (Surprise / étonnement)","Nous sommes toujours entourés par l'IoT, que nous le sachions ou pas, et je suis toujours surpris par de nouvelles utilisations inédites de l'IoT. Car cette technologie a des le potentiel d'avoir des répercussions énormes sur notre mode de vie dans le futur proche. Je suis pour l'utilisation de l'IoT où son utilisation a lieu, où elle donne un plus tangible. Je n'approuve pas en l'implication ""forcée"" de l'IoT dans tout et n'importe quoi. Ça deviendrait alors une perte de temps et d’énergie. Exemple de bonne utilisation: Extinction des lumières lorsque la salle est vide. Mauvaise utilisation: Poubelle qui s'ouvre et se ferme lorsque qu'elle détecte une personne qui vient l'utiliser."
"254","","1","fr","Autre","N/A","N/A","N/A","",""
"255","1980-01-01 00:00:00","1","fr","Autre","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)"," "
"256","","1","fr","Personnel","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)",""
"257","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","La vie est simple donc ca peut parfois compliquer l’existence et on sentira pas la beauté de la vie"
"258","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","ça améliore et facilite le quotidien "
"259","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Oui","Oui","Peur (Peur / terreur / inquiétude / anxiété)","Utiliser les objets connectés est excitant car j'ai envie de découvrir de nouvelles choses et comment ça marche, mais, en même temps ça me fait peur, de ne pas savoir s tous ses avantages et ses  inconvénients,  donc à long terme je me demande comment ça va impacter ma vie quotidienne, est il bénéfique pour toujours ou ça peut me nuire après ?, tous ces questions qui me laisse embarrassante face à ces nouvelles tech.  "
"260","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Les IoT de base sont fait pour capturer des données sur l'environnement ou quoi que ce soit d'autre dans le but d'analyser plus tard ces données et améliorer ou mieux contrôler la consommation d'énergie par exemple.Vu l'importance que les IoT ont dans notre société actuelle et le potentiel qu'on peut se procurer avec, je ne peux qu'être d'accord et pour la popularisation en masse des IoT néanmoins la question de sécurité des données personnelles ou autres doivent être bien prises en compte et non oubliée au profit de l'argent ou n'importe quelle autre motivation."
"261","","1","fr","Autre","N/A","N/A","N/A","",""
"262","","1","fr","Autre","N/A","N/A","N/A","",""
"263","","1","fr","Autre","N/A","N/A","N/A","",""
"264","","1","fr","Autre","N/A","N/A","N/A","",""
"265","","1","fr","Autre","N/A","N/A","N/A","",""
"266","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","L'usage de Iot facilite la vie quotidienne "
"267","","1","fr","Autre","N/A","N/A","N/A","",""
"268","","1","fr","Autre","N/A","N/A","N/A","",""
"269","","1","fr","Autre","N/A","N/A","N/A","",""
"270","","1","fr","Autre","N/A","N/A","N/A","",""
"271","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","je crois que l'utilisation des technologies IoT dans notre vie va exploiter beaucoup plus nos informations personnelles et ça c'est un peu inquiétant par contre ça va beaucoup faciliter la vie des gens, connecter plus les gens, rendre les machines beaucoup plus répondantes aux humains et ça c'est quelque chose de vraiment bien, même d'ailleurs excellent "
"272","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","- Les IoTs facilitent notre vie quotidienne
- ils nous accompagnent partout grâce à l'internet
- le niveau de fiabilité des informations qu'ils nous communiquent est assez acceptable aujourd'hui
"
"273","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","."
"274","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Là où j'étudie, à part le smartphone, je ne vois pas de dispositifs IoT"
"275","","1","fr","Autre","N/A","N/A","N/A","",""
"276","","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"277","","1","fr","Autre","N/A","N/A","N/A","",""
"278","","1","fr","Autre","N/A","N/A","N/A","",""
"279","","1","fr","Autre","N/A","N/A","N/A","",""
"280","","1","fr","Autre","N/A","N/A","N/A","",""
"281","","1","fr","Autre","N/A","N/A","N/A","",""
"282","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Les IOT sert à faciliter la vie quotidienne donc je suis pour l'utilisation de IOT "
"283","","1","fr","Autre","N/A","N/A","N/A","",""
"284","","1","fr","Autre","N/A","N/A","N/A","",""
"285","","1","fr","Autre","N/A","N/A","N/A","",""
"286","","1","fr","Autre","N/A","N/A","N/A","",""
"287","","1","fr","Autre","N/A","N/A","N/A","",""
"288","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Je suis heureux de voir un campus intelligent et connecté qui permet d'économiser l'énergie et détecter les problèmes "
"289","","1","fr","Autre","N/A","N/A","N/A","",""
"290","","1","fr","Autre","N/A","N/A","N/A","",""
"291","","1","fr","Autre","N/A","N/A","N/A","",""
"292","","1","fr","Autre","N/A","N/A","N/A","",""
"293","","1","fr","Autre","N/A","N/A","N/A","",""
"294","","1","fr","Autre","N/A","N/A","N/A","",""
"295","","1","fr","Autre","N/A","N/A","N/A","",""
"296","1980-01-01 00:00:00","1","fr","Autre","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","ça permet de simplifier et faciliter la vie tout simplement. De plus elle peut apporter une certaine sécurité aux gens"
"297","","1","fr","Autre","N/A","N/A","N/A","",""
"298","","1","fr","Autre","N/A","N/A","N/A","",""
"299","","1","fr","Autre","N/A","N/A","N/A","",""
"300","","1","fr","Autre","N/A","N/A","N/A","",""
"301","","1","fr","Autre","N/A","N/A","N/A","",""
"302","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","sqsfqsdf"
"303","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","","Rien"
"304","","1","fr","Personnel","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"305","","1","fr","Autre","N/A","N/A","N/A","",""
"306","","1","fr","Autre","N/A","N/A","N/A","",""
"307","1980-01-01 00:00:00","1","fr","Personnel","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Contrôler l'énergie, c'est contrôler les ressources de cette énergie. Qui implique la diminution de la pollution  "
"308","","1","fr","Autre","N/A","N/A","N/A","",""
"309","","1","fr","Etudiant","Masculin","Non","Non","",""
"310","1980-01-01 00:00:00","1","fr","Autre","Féminin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","Je ne fais pas confiance, puisque le but principal, je crois, est le contrôle et l'extraction d'information. Je suis totalement contre"
"311","","1","fr","Autre","N/A","N/A","N/A","",""
"312","","1","fr","Autre","N/A","N/A","N/A","",""
"313","","1","fr","Autre","N/A","N/A","N/A","",""
"314","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Aucune","Pas  d'expérience sur les IOT"
"315","","1","fr","Autre","N/A","N/A","N/A","",""
"316","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","Sécurité des données collectées"
"317","1980-01-01 00:00:00","1","fr","Autre","Masculin","Non","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)","ils peuvent nous etre utiles très utiles :-)"
"318","","1","fr","Autre","N/A","N/A","N/A","",""
"319","","1","fr","","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)",""
"320","","1","fr","Autre","N/A","N/A","N/A","",""
"321","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","je pense que l'usage de IoT nous facilitera la vie"
"322","","1","fr","Autre","N/A","N/A","N/A","",""
"323","","1","fr","Autre","N/A","N/A","N/A","",""
"324","","1","fr","Autre","N/A","N/A","N/A","",""
"325","","1","fr","Autre","N/A","N/A","N/A","",""
"326","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Non","Peur (Peur / terreur / inquiétude / anxiété)","."
"327","","1","fr","Autre","N/A","N/A","N/A","",""
"328","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Non","Peur (Peur / terreur / inquiétude / anxiété)","Perte d'autonomie "
"329","1980-01-01 00:00:00","1","fr","Autre","Féminin","Non","Oui","Surprise (Surprise / étonnement)","Pour moi ces objets seront un nouveau pas vers un futur développé semblable a celui qu'on voit dans les films"
"330","","1","fr","Autre","N/A","N/A","N/A","",""
"331","","1","fr","Autre","N/A","N/A","N/A","",""
"332","","1","fr","Autre","N/A","N/A","N/A","",""
"333","","1","fr","Autre","N/A","N/A","N/A","",""
"334","","1","fr","Autre","N/A","N/A","N/A","",""
"335","1980-01-01 00:00:00","1","fr","","Masculin","Non","Non","Aucune","????"
"336","","1","fr","Autre","N/A","N/A","N/A","",""
"337","","1","fr","Autre","N/A","N/A","N/A","",""
"338","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Oui","Oui","","Il faut que ça soit mieux contrôlé"
"339","","1","fr","Autre","N/A","N/A","N/A","",""
"340","","1","fr","Autre","N/A","N/A","N/A","",""
"341","","1","fr","Autre","N/A","N/A","N/A","",""
"343","","1","fr","Autre","N/A","N/A","N/A","",""
"344","","1","fr","Autre","N/A","N/A","N/A","",""
"345","","1","fr","Etudiant","Masculin","Oui","Oui","",""
"346","","1","fr","Autre","N/A","N/A","N/A","",""
"347","","1","fr","Autre","N/A","N/A","N/A","",""
"348","","1","fr","Autre","N/A","N/A","N/A","",""
"349","","1","fr","Autre","N/A","N/A","N/A","",""
"350","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Ça facilite la vie de certaines personnes les handicapés par exemple "
"351","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","","Je ne sais pas exactement s'il y a une relation entre la technologie et les émotions ! mais je pense que une salle avec des capteurs va amélioré la qualité de déroulement de cours ! je suis avec ça, mais j'ai aucune sentiment sur ça !! "
"352","","1","fr","Autre","N/A","N/A","N/A","",""
"353","","1","fr","Autre","N/A","N/A","N/A","",""
"354","","1","fr","Autre","N/A","N/A","N/A","",""
"355","","1","fr","Autre","Masculin","Oui","Oui","",""
"356","","1","fr","Autre","N/A","N/A","N/A","",""
"357","1980-01-01 00:00:00","1","fr","Personnel","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","on a besoin des dispositifs inélégantes pour facilité notre vie quotidienne et pour gagner du temps et d'Energie "
"358","","1","fr","Autre","N/A","N/A","N/A","",""
"359","","1","fr","Autre","N/A","N/A","N/A","",""
"360","","1","fr","Autre","N/A","N/A","N/A","",""
"361","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","L'internet des Objets permet de faciliter notre vie quotidienne,, que ce soit dans le domaine domotique ou médicale ou autre. C'est donc avec plaisir que j'utiliserai des objets IdO qui me permettent de faire  moins d'efforts pour établir mes taches du quotidien"
"362","","1","fr","Autre","N/A","N/A","N/A","",""
"363","","1","fr","Autre","N/A","N/A","N/A","",""
"364","1980-01-01 00:00:00","1","fr","Personnel","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","                                                  




"
"365","","1","fr","Autre","N/A","N/A","N/A","",""
"366","","1","fr","Autre","N/A","N/A","N/A","",""
"367","","1","fr","Autre","N/A","N/A","N/A","",""
"368","","1","fr","Autre","N/A","N/A","N/A","",""
"369","","1","fr","Autre","N/A","N/A","N/A","",""
"370","","1","fr","Autre","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"371","","1","fr","Autre","N/A","N/A","N/A","",""
"372","","1","fr","Autre","N/A","N/A","N/A","",""
"373","","1","fr","Autre","N/A","N/A","N/A","",""
"374","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Je trouve que les IoT ont un impact positive sur l'être humain et qu'ils nous aident à améliorer la vie quotidienne et par conséquent plus d'optimisme"
"375","1980-01-01 00:00:00","1","fr","Autre","Féminin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","juste comme ça"
"376","","1","fr","Autre","N/A","N/A","N/A","",""
"377","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Moins de soucis, sécurité dans certains cas "
"378","","1","fr","Autre","N/A","N/A","N/A","",""
"379","","1","fr","Autre","N/A","N/A","N/A","",""
"380","","1","fr","Autre","N/A","N/A","N/A","",""
"381","","1","fr","Autre","N/A","N/A","N/A","",""
"382","","1","fr","Autre","N/A","N/A","N/A","",""
"383","","1","fr","Autre","N/A","N/A","N/A","",""
"384","","1","fr","Autre","N/A","N/A","N/A","",""
"385","","1","fr","Autre","N/A","N/A","N/A","",""
"386","","1","fr","Autre","N/A","N/A","N/A","",""
"387","","1","fr","Autre","N/A","N/A","N/A","",""
"388","","1","fr","Autre","N/A","N/A","N/A","",""
"389","","1","fr","Autre","Masculin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)",""
"390","","1","fr","Autre","N/A","N/A","N/A","",""
"391","","1","fr","Autre","N/A","N/A","N/A","",""
"392","","1","fr","Autre","N/A","N/A","N/A","",""
"393","","1","fr","Autre","N/A","N/A","N/A","",""
"394","","1","fr","Autre","N/A","N/A","N/A","",""
"395","","1","fr","Autre","N/A","N/A","N/A","",""
"396","","1","fr","Autre","N/A","N/A","N/A","",""
"397","","1","fr","Autre","N/A","N/A","N/A","",""
"398","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","car c'est un outil qui permet d'avoir plus de control et de maitrise "
"399","","1","fr","Autre","N/A","N/A","N/A","",""
"400","","1","fr","Autre","N/A","N/A","N/A","",""
"401","","1","fr","Autre","N/A","N/A","N/A","",""
"402","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Non","Surprise (Surprise / étonnement)","En fait, je pense que l'homme devient paresseux et faible avec tous ces robots"
"403","","1","fr","Autre","N/A","N/A","N/A","",""
"404","","1","fr","Autre","N/A","N/A","N/A","",""
"405","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","","."
"406","","1","fr","Autre","N/A","N/A","N/A","",""
"407","","1","fr","Autre","N/A","N/A","N/A","",""
"408","","1","fr","Autre","N/A","N/A","N/A","",""
"409","","1","fr","Autre","N/A","N/A","N/A","",""

